timestamp_robot,time_elapsed_sec,event_label,current_event_type,bow_direction,current_string,remaining_duration_sec,calc_TCP_pose_x,calc_TCP_pose_y,calc_TCP_pose_z,calc_TCP_pose_rx,calc_TCP_pose_ry,calc_TCP_pose_rz,pred_q_base,pred_q_shoulder,pred_q_elbow,pred_q_wrist1,pred_q_wrist2,pred_q_wrist3
0.0,0.0007340908050537109,,bowing,up,A,0.49895833333333334,0.46961092137032656,0.4209600930485714,0.25311254739883676,1.6794020390982414,-0.8305074652394178,-1.69780291086857,-2.6129803168069947,0.11641649452479086,-1.2227430265871377,-0.16139929500887207,-2.0010850299945835,-1.9870423477323433
0.01,0.0008251667022705078,,bowing,up,A,0.49895833333333334,0.46609230355165304,0.42872276276714283,0.24991666689267347,1.677732883093784,-0.8295400874737414,-1.6998172531660307,-2.602867782172226,0.13676782134913212,-1.2597536735843735,-0.14886351009909604,-1.9893631574827677,-1.9817256368740357
0.02,0.0009021759033203125,,bowing,up,A,0.49895833333333334,0.46257368573297963,0.43648543248571425,0.24672078638651024,1.6760626068106577,-0.8285749808609391,-1.701831858480114,-2.592768316352829,0.15811850321799925,-1.298957181096437,-0.13494398875198277,-1.9778048086439397,-1.9764744068508473
0.03,0.0009679794311523438,,bowing,up,A,0.49895833333333334,0.45905506791430617,0.4442481022042857,0.24352490588034698,1.6743912133076218,-0.8276121496161085,-1.7038467291067905,-2.5826681553836774,0.17946846942155226,-1.338157102768784,-0.12102915846664164,-1.9662430276113354,-1.971220957138333
0.04,0.0010330677032470703,,bowing,up,A,0.49895833333333334,0.45553645009563265,0.4520107719228571,0.24032902537418369,1.6727187056351522,-0.8266515979492347,-1.7058618673132235,-2.5725672471285415,0.20081776767081216,-1.3773534386014137,-0.10711901924307266,-1.9546777562121782,-1.9659653571017839
0.05,0.001096963882446289,,bowing,up,A,0.49895833333333334,0.4520178322769592,0.4597734416414285,0.2371331448680204,1.6710450868356328,-0.8256933300651508,-1.7078772753379297,-2.5623082965768775,0.22266135209696913,-1.4165705723044013,-0.09368546653846566,-1.942813360399466,-1.9603401094271502
0.060000000000000005,0.0011641979217529297,,bowing,up,A,0.49895833333333334,0.4484992144582858,0.46753611135999995,0.2339372643618572,1.669370359943538,-0.8247373501635006,-1.7098929553909306,-2.5519347332095554,0.24486233978095784,-1.455801332198313,-0.08059867204863957,-1.9307319219599601,-1.9544463487093515
0.07,0.0012259483337402344,,bowing,up,A,0.49895833333333334,0.44498059663961226,0.47529878107857143,0.2307413838556939,1.6676945279856232,-0.8237836624386996,-1.7119089096539106,-2.541560335662529,0.2670625640886116,-1.4950282671965263,-0.06751593469331896,-1.9186466441172463,-1.9485506457633925
0.08,0.001287221908569336,,bowing,up,A,0.49895833333333334,0.4414619788209388,0.4830614507971428,0.22754550334953064,1.6660175939811064,-0.8228322710798975,-1.7139251402803695,-2.5311853124807238,0.28926259755218164,-1.5342520944669853,-0.05443826875613067,-1.9065579922535316,-1.9426527924933987
0.09,0.001348257064819336,,bowing,up,A,0.49895833333333334,0.43794336100226533,0.4908241205157143,0.22434962284336735,1.6643395609418483,-0.8218831802709395,-1.7159416493957724,-2.5208094203617266,0.31146196306145846,-1.5734720968417464,-0.04136504030980781,-1.8944657918504886,-1.9367528582646618
0.09999999999999999,0.0014090538024902344,,bowing,up,A,0.49895833333333334,0.4344247431835918,0.49858679023428565,0.2211537423372041,1.6626604318725369,-0.8209363941903265,-1.7179584390977019,-2.5104329373654384,0.3336611377266516,-1.6126885133767903,-0.02829612256889713,-1.8823701592536688,-1.9308508430771818
0.10999999999999999,0.0014693737030029297,,bowing,up,A,0.49895833333333334,0.43090612536491835,0.5063494599528571,0.21795786183104082,1.6609802097708581,-0.819991917011177,-1.7199755114560025,-2.5000173869529863,0.35546870033200195,-1.6512549366991651,-0.015492059639934386,-1.8704988990534033,-1.9249571517246744
0.11999999999999998,0.0015301704406738281,,bowing,up,A,0.49895833333333334,0.4273875075462449,0.5141121296714285,0.21476198132487756,1.6592988976276786,-0.8190497529011882,-1.7219928685129315,-2.489520747321753,0.37645563337725285,-1.6884608924329774,-0.003238118792848521,-1.8591021541859594,-1.9190835763066847
0.12999999999999998,0.0015912055969238281,,bowing,up,A,0.49895833333333334,0.4238688897275714,0.5218747993899999,0.2115661008187143,1.657616498427214,-0.8181099060225959,-1.7240105122833007,-2.4790426681889466,0.3974377953204101,-1.725694339604618,0.008960797167504087,-1.8477303072665903,-1.9132231802940687
0.13999999999999999,0.0016510486602783203,,bowing,up,A,0.49895833333333334,0.420350271908898,0.5296374691085715,0.20837022031255104,1.6559330151472038,-0.8171723805321353,-1.7260284447546204,-2.4685861908347397,0.4184143273630969,-1.7629579078298807,0.021095432903032618,-1.8363881284629182,-1.9073785995679011
0.15,0.0017123222351074219,,bowing,up,A,0.49895833333333334,0.4168316540902245,0.5374001388271429,0.20517433980638777,1.6542484507590831,-0.8162371805810021,-1.7280466678872448,-2.4581288619220842,0.4393901914514906,-1.800217651159445,0.03322537757678923,-1.825042750156573,-1.9015317991524072
0.16,0.001772165298461914,,bowing,up,A,0.49895833333333334,0.4133130362715511,0.5451628085457143,0.2019784593002245,1.652562808228145,-0.8153043103148113,-1.730065183614507,-2.4476851622892895,0.46036443336517263,-1.8374518154990294,0.045426956031661136,-1.8136902747715706,-1.8956687672587167
0.17,0.0018322467803955078,,bowing,up,A,0.49895833333333334,0.4097944184528776,0.5529254782642857,0.19878257879406125,1.6508760905137148,-0.8143737738735588,-1.7320839938428632,-2.4374833052558427,0.4814324751460146,-1.8741920901816167,0.05790327856383848,-1.8025316892485637,-1.889652576801526
0.18000000000000002,0.00189208984375,,bowing,up,A,0.49895833333333334,0.4062758006342041,0.5606881479828572,0.195586698287898,1.6491883005693069,-0.8134455753915797,-1.7341031004520269,-2.427431548432986,0.5025457469747041,-1.9106612753816123,0.07064800590065601,-1.7915095770577618,-1.8835538416475215
0.19000000000000003,0.001950979232788086,,bowing,up,A,0.49895833333333334,0.40275718281553063,0.5684508177014286,0.19239081778173472,1.6474994413427948,-0.8125197189975095,-1.7361225052951077,-2.4173789183282515,0.5236580645829747,-1.9471261575739476,0.08338766181934143,-1.780484207191511,-1.8774527480736078
0.20000000000000004,0.0020112991333007812,,bowing,up,A,0.49895833333333334,0.39923856499685717,0.57621348742,0.18919493727557143,1.645809515776566,-0.8115962088142417,-1.7381422101987447,-2.4073254496991265,0.544769237126743,-1.9835867367586228,0.09612199274898825,-1.769455695995363,-1.8713497122715341
0.21000000000000005,0.0020711421966552734,,bowing,up,A,0.49895833333333334,0.39571994717818365,0.5839761571385714,0.18599905676940814,1.6441185268076854,-0.8106750489588898,-1.7401622169632398,-2.397271133856239,0.5658796462941762,-2.0200425348236752,0.10885175940231617,-1.75842386895099,-1.8652444567801343
