String Move,Force X,Force Y,Force Z,Force Rx,Force Ry,Force Rz,Time,Speed,Accel
D3 on D,2.2649218049161983,-5.635077395578898,2.0089869767541915,-0.28904063233304894,0.08882372465596221,0.48175907444919164,2.558936834335327,0.1,0.5
D3 on D,2.2649218049161983,-5.635077395578898,2.0089869767541915,-0.28904063233304894,0.08882372465596221,0.48175907444919164,2.558936834335327,0.17778048736146027,0.5345072442087315
D3 on D,0.07391327593686217,-0.8493808014552252,0.07138951115853354,-0.03696736247784953,0.027776847017175255,0.08494447527270481,4.869666337966919,0.17778048736146027,0.5344549098131582
A3 on A,0.06612458573345759,6.668670454599949,-0.41407785445588496,1.0717248971724127,-0.07121661054362244,-1.1253561681587407,8.621148586273193,0.16697251447698339,0.5019633003065889
A3 on A,0.44402812817285375,-4.742232929250443,-0.8554870654158164,-0.33453615343218246,0.21651241846262057,0.5242088157679645,10.900439500808716,0.16697251447698339,0.5019633003065889
A3 on A,1.1459729968591699,5.976688606691621,-0.7848811786398846,0.8943736581563897,-0.271680964685869,-1.2773846330164131,13.18354845046997,0.16697251447698339,0.5019633003065889
A3 on A,0.39944758814021775,-4.682121626124081,-0.6189535920818272,-0.3305418874506697,0.218120744839221,0.5241923635748331,15.46437954902649,0.16697251447698339,0.5019633003065889
A3 on A,0.8820296826731737,6.320153583501508,-0.9386075979317434,0.8895325610977503,-0.2734541620471913,-1.2709622060558856,17.73892593383789,0.25082948617184125,0.45717629662426496
A3 on A,0.8820296826731737,6.320153583501508,-0.9386075979317434,0.8895325610977503,-0.2734541620471913,-1.2709622060558856,17.73892593383789,0.25082948617184125,2.1379422420977368
D3 on D,9.042240688083307,-0.3522180101166228,1.0569006185121959,-0.30244945300215287,-0.221823751058716,-0.1458227430062294,22.949894428253174,0.17778048736146027,0.5344549098131582
D3 on D,0.4783940674515307,1.0586378682091724,1.400789602604585,0.10852628920295712,-0.012092669985497928,-0.08468454206889076,25.23456621170044,0.17778048736146027,0.5344549098131582
D3 on D,1.3121793386961942,-4.054371077561851,0.6751876205344244,-0.2403416619600695,0.1744491421413532,0.5161384894082615,27.5165958404541,0.17778048736146027,0.5344549098131582
D3 on D,0.9630999233614801,1.708803934581049,0.7667514004251569,0.07888159232363184,-0.017222235889213094,-0.14327623639024917,29.79467749595642,0.17778048736146027,0.5344549098131582
D3 on D,1.0102368480806814,-4.5300309800051615,1.240264088241699,-0.23823032829624854,0.1583794336183725,0.5210638583203319,32.07766318321228,0.17778048736146027,0.5344549098131582
D3 on D,0.9440078379442641,2.1622195742361403,0.3698246107670313,0.08424742498544725,-0.011074580894800795,-0.1349682384610833,34.36870884895325,0.17778048736146027,0.5344549098131582
D3 on D,1.5408648788605133,-4.025747392099873,1.1264557507371824,-0.24695567761791615,0.1622498661175315,0.5249937804800437,36.63994383811951,0.2670654414945733,0.4010158871242811
A3 on A,-1.3801907335780526,3.472771175240651,-1.2711304196155861,0.6392074876635504,-0.006524894341023026,-0.593074731393052,41.81319737434387,0.16697251447698339,0.5019633003065889
A3 on A,0.309724174227866,-4.959550077114101,-0.7332337648264837,-0.33500604839139714,0.20692292266156895,0.5127032495522688,44.10404896736145,0.16697251447698339,0.5019633003065889
D3 on D,1.9439972500655724,0.7185204669021118,-2.1278898048010255,0.045085431669304954,-0.05687777973091892,-0.49646302844275414,48.71402382850647,0.17778048736146027,0.5344549098131582
D3 on D,0.6332765044810409,-3.7784988534340385,0.643722481810361,0.21581090332719222,0.17805449354547848,0.24120019468453097,50.99991011619568,0.17778048736146027,0.5344549098131582
D3 on D,-0.1538228780831136,2.3087551047965547,-0.8479834793312935,0.14646738047895586,-0.05509657709314206,-0.3447060345440519,53.293853759765625,0.17778048736146027,0.5344549098131582
D3 on D,0.4842788787826594,-3.721516403108089,0.13228437947914296,0.20726160497609605,0.17688495065030768,0.25027940246341784,55.56818914413452,0.17778048736146027,0.5344549098131582
