timestamp_robot,time_elapsed_sec,event_flag,event_label,current_event_type,current_note_number,current_note_name,current_string,remaining_duration_sec,TCP_pose_x,TCP_pose_y,TCP_pose_z,TCP_pose_rx,TCP_pose_ry,TCP_pose_rz,q_base,q_shoulder,q_elbow,q_wrist1,q_wrist2,q_wrist3,TCP_force_x,TCP_force_y,TCP_force_z,TCP_force_rx,TCP_force_ry,TCP_force_rz,current_note_event
9445.944,0.528,3,Playing d_bow...,Note,62,D4,A,0.470958,0.351019,0.657576,0.176493,-1.660456,-2.082783,1.039317,-2.337586,-0.582033,1.144766,-1.359354,-1.368972,-2.642018,0.607522,-0.624391,-0.154467,0.099181,0.072442,0.081288,A
9446.016,0.6,3,Playing d_bow...,Note,57,A3,A,0.898958,0.351118,0.659508,0.17566,-1.659507,-2.085425,1.043157,-2.335929,-0.577011,1.136319,-1.354377,-1.371247,-2.64141,0.888616,-0.126428,-1.025346,0.180194,0.171515,0.196193,A
9446.024,0.608,3,Playing d_bow...,Note,57,A3,A,0.890958,0.351139,0.659814,0.175584,-1.659344,-2.085881,1.043604,-2.335669,-0.576278,1.134957,-1.353604,-1.371569,-2.641345,1.171981,0.073025,-1.66869,0.18921,0.203331,0.205816,A
9446.032,0.616,3,Playing d_bow...,Note,57,A3,A,0.882958,0.351129,0.660169,0.175454,-1.659188,-2.086396,1.044226,-2.33534,-0.575416,1.133467,-1.352756,-1.371965,-2.641212,0.747167,-1.544081,-0.186829,0.202296,0.146701,0.180681,A
9446.112,0.696,3,Playing d_bow...,Note,57,A3,A,0.802958,0.35119,0.664882,0.173641,-1.656688,-2.093364,1.052808,-2.33114,-0.563485,1.112896,-1.340904,-1.377447,-2.639857,0.789282,-0.739367,-0.847029,0.18644,0.171948,0.174912,A
9446.12,0.704,3,Playing d_bow...,Note,57,A3,A,0.794958,0.351192,0.665476,0.173356,-1.656374,-2.094215,1.053944,-2.33061,-0.561902,1.110299,-1.339446,-1.378139,-2.639674,0.887677,-0.643646,-0.249945,0.17868,0.145393,0.180796,A
9446.128,0.712,3,Playing d_bow...,Note,57,A3,A,0.786958,0.351195,0.666083,0.173041,-1.656054,-2.095085,1.055224,-2.330071,-0.560248,1.107625,-1.337901,-1.378896,-2.639475,0.855297,-0.352143,-0.926206,0.177855,0.16745,0.17767,A
9446.136,0.72,3,Playing d_bow...,Note,57,A3,A,0.778958,0.351214,0.666711,0.172734,-1.655708,-2.095915,1.056481,-2.329527,-0.558542,1.104827,-1.336281,-1.379601,-2.63929,0.955608,-0.810329,-0.421479,0.179798,0.152152,0.180899,A
9446.144,0.728,3,Playing d_bow...,Note,57,A3,A,0.770958,0.351194,0.667387,0.172426,-1.655301,-2.096892,1.0578,-2.328902,-0.556775,1.101892,-1.334583,-1.380376,-2.639099,0.356433,-2.181641,-0.263013,0.187944,0.138428,0.158881,A
9446.152,0.736,3,Playing d_bow...,Note,57,A3,A,0.762958,0.351205,0.668053,0.172146,-1.654987,-2.097885,1.058969,-2.32832,-0.555031,1.098928,-1.332946,-1.381159,-2.638887,1.200109,-0.175116,-1.68358,0.174689,0.178347,0.1808,A
